title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Shawshank Redemption,142 min,Drama,Frank Darabont,Frank Darabont,,9.3,1551550 users
The Godfather,175 min,Drama,Francis Ford Coppola,Francis Ford Coppola,,9.2,1062140 users
The Godfather: Part II,202 min,Drama,Francis Ford Coppola,Mario Puzo,,9.0,719297 users
The Dark Knight,152 min,Drama,Christopher Nolan,Christopher Nolan,,9.0,1526827 users
12 Angry Men,96 min,Drama,Sidney Lumet,Reginald Rose,,8.9,402381 users
Schindler's List,195 min,History,Steven Spielberg,Steven Zaillian,,8.9,789949 users
Pulp Fiction,154 min,Drama,Quentin Tarantino,Roger Avary,,8.9,1209299 users
"Il buono, il brutto, il cattivo",161 min,Western,Sergio Leone,Sergio Leone,,8.9,463392 users
The Lord of the Rings: The Return of the King,201 min,Fantasy,Peter Jackson,Fran Walsh,,8.9,1112725 users
Fight Club,139 min,Drama,David Fincher,Jim Uhls,,8.9,1224979 users
The Lord of the Rings: The Fellowship of the Ring,178 min,Fantasy,Peter Jackson,Fran Walsh,,8.8,1137211 users
Star Wars: Episode V - The Empire Strikes Back,124 min,Fantasy,Irvin Kershner,Lawrence Kasdan,,8.8,728031 users
Forrest Gump,142 min,Romance,Robert Zemeckis,Eric Roth,,8.8,1125036 users
Inception,148 min,Sci-Fi,Christopher Nolan,Christopher Nolan,,8.8,1326076 users
One Flew Over the Cuckoo's Nest,133 min,Drama,Milos Forman,Bo Goldman,,8.7,626747 users
The Lord of the Rings: The Two Towers,179 min,Fantasy,Peter Jackson,Fran Walsh,,8.7,1003698 users
Goodfellas,146 min,Drama,Martin Scorsese,Nicholas Pileggi,,8.7,667831 users
The Matrix,136 min,Sci-Fi,Lana Wachowski,Lana Wachowski,,8.7,1113304 users
Star Wars: Episode IV - A New Hope,121 min,Fantasy,George Lucas,George Lucas,,8.7,798218 users
Shichinin no samurai,207 min,Drama,Akira Kurosawa,Shinobu Hashimoto,,8.7,212318 users
